
*******   STEP   1      *** NEFF=10 CALCULATION                
    9   0.877E-04   0.114E-02   0.246E-03
   10   0.605E-04   0.833E-03   0.191E-03

*******   STEP  38      *** NEFF=10 CALCULATION                
    1   0.196E-02   0.209E-02   0.459E-02
    2   0.720E-03   0.814E-02   0.260E-02
    3   0.405E-03   0.526E-02   0.164E-02
    4   0.213E-03   0.410E-02   0.119E-02
    5   0.204E-03   0.317E-02   0.790E-03
    6   0.143E-03   0.241E-02   0.551E-03
    7   0.117E-03   0.192E-02   0.404E-03
    8   0.108E-03   0.151E-02   0.313E-03
    9   0.866E-04   0.114E-02   0.254E-03
   10   0.595E-04   0.842E-03   0.197E-03

*******   STEP  39      *** NEFF=10 CALCULATION                
    1   0.191E-02   0.206E-02   0.440E-02
    2   0.702E-03   0.789E-02   0.251E-02
    3   0.398E-03   0.514E-02   0.160E-02
    4   0.207E-03   0.402E-02   0.118E-02
    5   0.196E-03   0.313E-02   0.789E-03
    6   0.138E-03   0.241E-02   0.557E-03
    7   0.115E-03   0.193E-02   0.414E-03
    8   0.107E-03   0.153E-02   0.325E-03
    9   0.859E-04   0.116E-02   0.264E-03
   10   0.590E-04   0.866E-03   0.206E-03

*******   STEP  40      *** NEFF=10 CALCULATION                
    1   0.186E-02   0.204E-02   0.422E-02
    2   0.685E-03   0.767E-02   0.243E-02
    3   0.392E-03   0.502E-02   0.156E-02
    4   0.200E-03   0.395E-02   0.116E-02
    5   0.189E-03   0.310E-02   0.787E-03
    6   0.133E-03   0.242E-02   0.563E-03
    7   0.113E-03   0.195E-02   0.424E-03
    8   0.106E-03   0.155E-02   0.336E-03
    9   0.852E-04   0.119E-02   0.275E-03
   10   0.586E-04   0.892E-03   0.215E-03

*******   STEP  41      *** NEFF=10 CALCULATION                
    1   0.182E-02   0.202E-02   0.405E-02
    2   0.670E-03   0.745E-02   0.235E-02
    3   0.385E-03   0.491E-02   0.153E-02
    4   0.337E-03   0.367E-02   0.962E-03
    5   0.175E-03   0.286E-02   0.764E-03
    6   0.146E-03   0.250E-02   0.553E-03
    7   0.170E-03   0.209E-02   0.448E-03
    8   0.138E-03   0.162E-02   0.440E-03
    9   0.889E-04   0.121E-02   0.352E-03
   10   0.583E-04   0.888E-03   0.227E-03
